epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98754,1.27611,1.21441,1.17944,0,0,0,0,0,0,0,0.00028,0.00028,0.00028
2,6.69377,1.12017,0.7934,1.12212,0,0,0,0,0,0,0,0.000574206,0.000574206,0.000574206
3,9.28258,1.14385,0.86577,1.14034,0,0,0,0,0,0,0,0.000862418,0.000862418,0.000862418
4,11.9817,1.16099,0.75555,1.15166,0,0,0,0,0,0,0,0.00114464,0.00114464,0.00114464
5,14.5618,1.16268,0.76798,1.16169,0,0,0,0,0,0,0,0.00142086,0.00142086,0.00142086
6,17.1099,1.22865,0.81678,1.19523,0,0,0,0,0,0,0,0.00169109,0.00169109,0.00169109
7,19.5888,1.27846,0.8763,1.19816,0,0,0,0,0,0,0,0.00188012,0.00188012,0.00188012
8,22.0811,1.2533,0.8594,1.18411,0,0,0,0,0,0,0,0.00186014,0.00186014,0.00186014
9,24.5724,1.16083,0.75808,1.15296,0,0,0,0,0,0,0,0.00184016,0.00184016,0.00184016
10,27.1626,1.14957,0.75077,1.16057,0,0,0,0,0,0,0,0.00182018,0.00182018,0.00182018
11,29.7994,1.1187,0.71585,1.14039,0,0,0,0,0,0,0,0.0018002,0.0018002,0.0018002
12,32.4914,1.11429,0.72773,1.16046,0,0,0,0,0,0,0,0.00178022,0.00178022,0.00178022
13,34.9932,1.12216,0.70437,1.14483,0,0,0,0,0,0,0,0.00176024,0.00176024,0.00176024
14,37.5949,1.14456,0.72482,1.13424,0,0,0,0,0,0,0,0.00174026,0.00174026,0.00174026
15,40.1856,1.04045,0.6392,1.09967,0,0,0,0,0,0,0,0.00172028,0.00172028,0.00172028
16,42.6921,1.07097,0.6716,1.11584,0,0,0,0,0,0,0,0.0017003,0.0017003,0.0017003
17,45.1639,1.08682,0.65526,1.11172,0,0,0,0,0,0,0,0.00168032,0.00168032,0.00168032
18,47.6617,1.02576,0.6349,1.10207,0,0,0,0,0,0,0,0.00166034,0.00166034,0.00166034
19,50.2622,1.01922,0.62738,1.08766,0,0,0,0,0,0,0,0.00164036,0.00164036,0.00164036
20,52.7585,0.96562,0.58042,1.06152,0,0,0,0,0,0,0,0.00162038,0.00162038,0.00162038
21,55.2375,0.99139,0.60901,1.0853,0,0,0,0,0,0,0,0.0016004,0.0016004,0.0016004
22,57.8332,0.97841,0.58979,1.08066,0,0,0,0,0,0,0,0.00158042,0.00158042,0.00158042
23,60.3141,0.99392,0.57909,1.07682,0,0,0,0,0,0,0,0.00156044,0.00156044,0.00156044
24,62.8428,0.98411,0.59106,1.08832,0,0,0,0,0,0,0,0.00154046,0.00154046,0.00154046
25,65.3106,0.96924,0.57291,1.06333,0,0,0,0,0,0,0,0.00152048,0.00152048,0.00152048
26,67.8092,0.96326,0.58193,1.06129,0,0,0,0,0,0,0,0.0015005,0.0015005,0.0015005
27,70.3947,0.93255,0.5404,1.04143,0,0,0,0,0,0,0,0.00148052,0.00148052,0.00148052
28,72.9011,0.92726,0.5538,1.06006,0,0,0,0,0,0,0,0.00146054,0.00146054,0.00146054
29,75.358,0.92127,0.53103,1.03145,0,0,0,0,0,0,0,0.00144056,0.00144056,0.00144056
30,78.0228,0.89553,0.53584,1.03503,0,0,0,0,0,0,0,0.00142058,0.00142058,0.00142058
31,80.5398,0.92033,0.52561,1.03791,0,0,0,0,0,0,0,0.0014006,0.0014006,0.0014006
32,83.1388,0.94021,0.54605,1.03705,0,0,0,0,0,0,0,0.00138062,0.00138062,0.00138062
33,85.6822,0.92346,0.5438,1.04213,0,0,0,0,0,0,0,0.00136064,0.00136064,0.00136064
34,88.2408,0.88591,0.5239,1.02557,0,0,0,0,0,0,0,0.00134066,0.00134066,0.00134066
35,90.7582,0.87029,0.51233,1.02412,0,0,0,0,0,0,0,0.00132068,0.00132068,0.00132068
36,93.2442,0.89518,0.50189,1.04127,0,0,0,0,0,0,0,0.0013007,0.0013007,0.0013007
37,95.7239,0.92108,0.51091,1.0313,0,0,0,0,0,0,0,0.00128072,0.00128072,0.00128072
38,98.2312,0.91308,0.49977,1.03037,0,0,0,0,0,0,0,0.00126074,0.00126074,0.00126074
39,100.735,0.90006,0.50041,1.02091,0,0,0,0,0,0,0,0.00124076,0.00124076,0.00124076
40,103.243,0.83932,0.47404,1.00677,0,0,0,0,0,0,0,0.00122078,0.00122078,0.00122078
41,105.696,0.85947,0.48941,1.02112,0,0,0,0,0,0,0,0.0012008,0.0012008,0.0012008
42,108.254,0.81149,0.46236,0.99586,0,0,0,0,0,0,0,0.00118082,0.00118082,0.00118082
43,110.747,0.84627,0.47766,1.00301,0,0,0,0,0,0,0,0.00116084,0.00116084,0.00116084
44,113.26,0.87202,0.49859,1.01731,0,0,0,0,0,0,0,0.00114086,0.00114086,0.00114086
45,115.715,0.88703,0.51054,1.03342,0,0,0,0,0,0,0,0.00112088,0.00112088,0.00112088
46,118.253,0.82344,0.46995,0.99534,0,0,0,0,0,0,0,0.0011009,0.0011009,0.0011009
47,120.74,0.80785,0.47183,0.99195,0,0,0,0,0,0,0,0.00108092,0.00108092,0.00108092
48,123.262,0.85581,0.48504,1.03074,0,0,0,0,0,0,0,0.00106094,0.00106094,0.00106094
49,125.735,0.81935,0.45612,1.00077,0,0,0,0,0,0,0,0.00104096,0.00104096,0.00104096
50,128.248,0.81776,0.44223,0.98308,0,0,0,0,0,0,0,0.00102098,0.00102098,0.00102098
51,130.756,0.73872,0.41886,0.95628,0,0,0,0,0,0,0,0.001001,0.001001,0.001001
52,133.333,0.83459,0.45102,1.01174,0,0,0,0,0,0,0,0.00098102,0.00098102,0.00098102
53,135.799,0.79297,0.44417,0.97314,0,0,0,0,0,0,0,0.00096104,0.00096104,0.00096104
54,138.327,0.79194,0.42743,0.97721,0,0,0,0,0,0,0,0.00094106,0.00094106,0.00094106
55,140.875,0.78351,0.43584,0.98172,0,0,0,0,0,0,0,0.00092108,0.00092108,0.00092108
56,143.388,0.75648,0.42313,0.97469,0,0,0,0,0,0,0,0.0009011,0.0009011,0.0009011
57,145.904,0.78333,0.43258,0.98602,0,0,0,0,0,0,0,0.00088112,0.00088112,0.00088112
58,148.422,0.75992,0.42386,0.98714,0,0,0,0,0,0,0,0.00086114,0.00086114,0.00086114
59,150.975,0.74588,0.41767,0.97847,0,0,0,0,0,0,0,0.00084116,0.00084116,0.00084116
60,153.504,0.72549,0.41077,0.97268,0,0,0,0,0,0,0,0.00082118,0.00082118,0.00082118
61,156.008,0.75555,0.4283,0.96908,0,0,0,0,0,0,0,0.0008012,0.0008012,0.0008012
62,158.643,0.73364,0.40495,0.95937,0,0,0,0,0,0,0,0.00078122,0.00078122,0.00078122
63,161.171,0.7249,0.39934,0.95584,0,0,0,0,0,0,0,0.00076124,0.00076124,0.00076124
64,163.76,0.71573,0.40586,0.94548,0,0,0,0,0,0,0,0.00074126,0.00074126,0.00074126
65,166.25,0.70752,0.39289,0.94185,0,0,0,0,0,0,0,0.00072128,0.00072128,0.00072128
66,168.778,0.70996,0.40584,0.95223,0,0,0,0,0,0,0,0.0007013,0.0007013,0.0007013
67,171.24,0.70135,0.39188,0.9473,0,0,0,0,0,0,0,0.00068132,0.00068132,0.00068132
68,173.761,0.68784,0.38426,0.93759,0,0,0,0,0,0,0,0.00066134,0.00066134,0.00066134
69,176.269,0.70456,0.38838,0.94336,0,0,0,0,0,0,0,0.00064136,0.00064136,0.00064136
70,178.806,0.69127,0.3935,0.94555,0,0,0,0,0,0,0,0.00062138,0.00062138,0.00062138
71,181.312,0.69273,0.39248,0.96483,0,0,0,0,0,0,0,0.0006014,0.0006014,0.0006014
72,183.915,0.69354,0.38597,0.96023,0,0,0,0,0,0,0,0.00058142,0.00058142,0.00058142
73,186.402,0.68104,0.37737,0.93347,0,0,0,0,0,0,0,0.00056144,0.00056144,0.00056144
74,189.109,0.66674,0.37688,0.9405,0,0,0,0,0,0,0,0.00054146,0.00054146,0.00054146
75,191.648,0.67695,0.37627,0.94409,0,0,0,0,0,0,0,0.00052148,0.00052148,0.00052148
76,194.173,0.6891,0.37535,0.95087,0,0,0,0,0,0,0,0.0005015,0.0005015,0.0005015
77,196.676,0.67979,0.38559,0.95004,0,0,0,0,0,0,0,0.00048152,0.00048152,0.00048152
78,199.356,0.68028,0.38628,0.96744,0,0,0,0,0,0,0,0.00046154,0.00046154,0.00046154
79,201.863,0.67853,0.37201,0.94066,0,0,0,0,0,0,0,0.00044156,0.00044156,0.00044156
80,204.421,0.6789,0.38142,0.95154,0,0,0,0,0,0,0,0.00042158,0.00042158,0.00042158
81,206.894,0.65994,0.35522,0.93093,0,0,0,0,0,0,0,0.0004016,0.0004016,0.0004016
82,209.462,0.66862,0.37375,0.94076,0,0,0,0,0,0,0,0.00038162,0.00038162,0.00038162
83,212.02,0.6344,0.34884,0.93604,0,0,0,0,0,0,0,0.00036164,0.00036164,0.00036164
84,214.528,0.67102,0.37322,0.95517,0,0,0,0,0,0,0,0.00034166,0.00034166,0.00034166
85,217.16,0.68619,0.36873,0.94839,0,0,0,0,0,0,0,0.00032168,0.00032168,0.00032168
86,219.716,0.66391,0.36594,0.94262,0,0,0,0,0,0,0,0.0003017,0.0003017,0.0003017
87,222.228,0.65524,0.35952,0.9333,0,0,0,0,0,0,0,0.00028172,0.00028172,0.00028172
88,224.768,0.62942,0.34728,0.9186,0,0,0,0,0,0,0,0.00026174,0.00026174,0.00026174
89,227.252,0.6342,0.34252,0.93195,0,0,0,0,0,0,0,0.00024176,0.00024176,0.00024176
90,229.761,0.61822,0.3403,0.92185,0,0,0,0,0,0,0,0.00022178,0.00022178,0.00022178
91,233.196,0.53963,0.30516,0.88615,0,0,0,0,0,0,0,0.0002018,0.0002018,0.0002018
92,235.826,0.54157,0.28823,0.88976,0,0,0,0,0,0,0,0.00018182,0.00018182,0.00018182
93,238.321,0.49441,0.27141,0.8638,0,0,0,0,0,0,0,0.00016184,0.00016184,0.00016184
94,240.843,0.53408,0.27565,0.87633,0,0,0,0,0,0,0,0.00014186,0.00014186,0.00014186
95,243.363,0.522,0.28046,0.88116,0,0,0,0,0,0,0,0.00012188,0.00012188,0.00012188
96,245.89,0.50096,0.27137,0.8644,0,0,0,0,0,0,0,0.0001019,0.0001019,0.0001019
97,248.332,0.50145,0.27096,0.87405,0,0,0,0,0,0,0,8.192e-05,8.192e-05,8.192e-05
98,250.845,0.50319,0.2642,0.86406,0,0,0,0,0,0,0,6.194e-05,6.194e-05,6.194e-05
99,253.365,0.49796,0.27152,0.86808,0,0,0,0,0,0,0,4.196e-05,4.196e-05,4.196e-05
100,260.048,0.4899,0.26332,0.86704,0.98828,0.98424,0.99422,0.86344,0.59936,0.3136,1.00324,2.198e-05,2.198e-05,2.198e-05
